#,ADR_USD,hotel_id,city_id,star_rating,accommadation_type_name,chain_hotel,booking_date,checkin_date,checkout_date
1,  71.06 ,"297,388","9,395",2.5,Hotel,non-chain,2/8/2016,1/10/2016,2/10/2016
2,  76.56 ,"298,322","9,395",3,Hotel,non-chain,2/8/2016,1/10/2016,2/10/2016
3,  153.88 ,"2,313,076","9,395",5,Hotel,chain,2/8/2016,1/10/2016,2/10/2016
4,  126.60 ,"2,240,838","9,395",3.5,Hotel,non-chain,4/8/2016,2/10/2016,3/10/2016
5,  115.08 ,"2,240,838","9,395",3.5,Hotel,non-chain,4/8/2016,2/10/2016,3/10/2016
6,  81.60 ,"331,350","9,395",3,Hotel,non-chain,4/8/2016,3/10/2016,5/10/2016
7,  77.16 ,"782,884","9,395",3,Hotel,chain,4/8/2016,3/10/2016,4/10/2016
8,  168.36 ,"2,313,076","9,395",5,Hotel,chain,4/8/2016,2/10/2016,5/10/2016
9,  48.18 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,4/8/2016,1/10/2016,2/10/2016
10,  81.74 ,"331,350","9,395",3,Hotel,non-chain,5/8/2016,1/10/2016,4/10/2016
11,  172.05 ,"1,853,178","9,395",4,Hotel,non-chain,6/8/2016,1/10/2016,4/10/2016
12,  24.92 ,"1,737,924","9,395",2,Hostel,non-chain,6/8/2016,1/10/2016,4/10/2016
13,  81.40 ,"331,350","9,395",3,Hotel,non-chain,6/8/2016,2/10/2016,5/10/2016
14,  43.32 ,"572,060","9,395",2,Serviced Apartment,non-chain,6/8/2016,2/10/2016,3/10/2016
15,  64.86 ,"588,768","9,395",3,Hotel,non-chain,6/8/2016,5/10/2016,6/10/2016
16,  234.12 ,"2,313,076","9,395",5,Hotel,chain,7/8/2016,6/10/2016,7/10/2016
17,  116.98 ,"257,678","9,395",4,Hotel,non-chain,7/8/2016,4/10/2016,5/10/2016
18,  181.42 ,"2,313,076","9,395",5,Hotel,chain,7/8/2016,2/10/2016,4/10/2016
19,  159.62 ,"96,982","9,395",4,Hotel,chain,8/8/2016,7/10/2016,10/10/2016
20,  148.21 ,"150,994","9,395",3,Hotel,non-chain,8/8/2016,7/10/2016,10/10/2016
21,  81.40 ,"331,350","9,395",3,Hotel,non-chain,8/8/2016,3/10/2016,5/10/2016
22,  42.10 ,"197,996","9,395",3.5,Hotel,non-chain,8/8/2016,3/10/2016,4/10/2016
23,  261.66 ,"597,472","9,395",3,Guest House / Bed & Breakfast,non-chain,8/8/2016,5/10/2016,6/10/2016
24,  365.60 ,"525,626","9,395",5,Hotel,chain,9/8/2016,7/10/2016,8/10/2016
25,  365.60 ,"525,626","9,395",5,Hotel,chain,9/8/2016,8/10/2016,9/10/2016
26,  144.74 ,"373,272","9,395",4.5,Hotel,chain,9/8/2016,7/10/2016,10/10/2016
27,  58.62 ,"297,388","9,395",2.5,Hotel,non-chain,9/8/2016,1/10/2016,4/10/2016
28,  79.54 ,"581,660","9,395",3,Hotel,non-chain,9/8/2016,3/10/2016,6/10/2016
29,  310.62 ,"587,866","9,395",4,Serviced Apartment,non-chain,9/8/2016,6/10/2016,7/10/2016
30,  118.60 ,"587,866","9,395",4,Serviced Apartment,non-chain,9/8/2016,7/10/2016,9/10/2016
31,  56.56 ,"2,288,310","9,395",1.5,Hostel,non-chain,9/8/2016,8/10/2016,9/10/2016
32,  112.18 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,9/8/2016,7/10/2016,8/10/2016
33,  112.30 ,"373,272","9,395",4.5,Hotel,chain,9/8/2016,5/10/2016,6/10/2016
34,  84.80 ,"782,884","9,395",3,Hotel,chain,9/8/2016,7/10/2016,8/10/2016
35,  84.80 ,"782,884","9,395",3,Hotel,chain,9/8/2016,7/10/2016,8/10/2016
36,  130.10 ,"373,272","9,395",4.5,Hotel,chain,10/8/2016,8/10/2016,10/10/2016
37,  81.90 ,"331,350","9,395",3,Hotel,non-chain,10/8/2016,1/10/2016,3/10/2016
38,  32.86 ,"104,332","9,395",2,Hotel,chain,10/8/2016,8/10/2016,10/10/2016
39,  78.92 ,"297,388","9,395",2.5,Hotel,non-chain,10/8/2016,4/10/2016,6/10/2016
40,  145.15 ,"373,272","9,395",4.5,Hotel,chain,10/8/2016,2/10/2016,5/10/2016
41,  81.80 ,"331,350","9,395",3,Hotel,non-chain,10/8/2016,2/10/2016,5/10/2016
42,  75.42 ,"297,388","9,395",2.5,Hotel,non-chain,10/8/2016,9/10/2016,12/10/2016
43,  93.82 ,"21,418","9,395",4,Hotel,chain,10/8/2016,3/10/2016,5/10/2016
44,  130.21 ,"257,678","9,395",4,Hotel,non-chain,10/8/2016,8/10/2016,11/10/2016
45,  78.92 ,"297,388","9,395",2.5,Hotel,non-chain,10/8/2016,5/10/2016,6/10/2016
46,  122.22 ,"309,680","9,395",3,Hotel,chain,10/8/2016,9/10/2016,10/10/2016
47,  86.92 ,"577,502","9,395",3.5,Hotel,non-chain,10/8/2016,7/10/2016,8/10/2016
48,  50.84 ,"297,388","9,395",2.5,Hotel,non-chain,11/8/2016,5/10/2016,6/10/2016
49,  47.84 ,"1,930,960","9,395",3,Hotel,non-chain,11/8/2016,6/10/2016,7/10/2016
50,  165.44 ,"2,313,076","9,395",5,Hotel,chain,11/8/2016,1/10/2016,2/10/2016
51,  91.24 ,"298,322","9,395",3,Hotel,non-chain,11/8/2016,6/10/2016,7/10/2016
52,  266.06 ,"525,626","9,395",5,Hotel,chain,11/8/2016,5/10/2016,6/10/2016
53,  80.94 ,"297,388","9,395",2.5,Hotel,non-chain,11/8/2016,6/10/2016,7/10/2016
54,  43.36 ,"197,996","9,395",3.5,Hotel,non-chain,12/8/2016,8/10/2016,9/10/2016
55,  70.88 ,"474,060","9,395",3,Hotel,chain,12/8/2016,6/10/2016,9/10/2016
56,  164.36 ,"2,313,076","9,395",5,Hotel,chain,12/8/2016,9/10/2016,11/10/2016
57,  53.06 ,"2,356,648","9,395",3,Hostel,non-chain,12/8/2016,3/10/2016,6/10/2016
58,  109.36 ,"21,272","9,395",4,Hotel,non-chain,12/8/2016,1/10/2016,3/10/2016
59,  126.78 ,"2,240,838","9,395",3.5,Hotel,non-chain,12/8/2016,1/10/2016,4/10/2016
60,  114.80 ,"587,866","9,395",4,Serviced Apartment,non-chain,13/8/2016,6/10/2016,9/10/2016
61,  41.70 ,"197,996","9,395",3.5,Hotel,non-chain,14/8/2016,4/10/2016,5/10/2016
62,  89.86 ,"298,322","9,395",3,Hotel,non-chain,14/8/2016,5/10/2016,6/10/2016
63,  96.98 ,"180,166","9,395",4,Hotel,chain,14/8/2016,5/10/2016,6/10/2016
64,  127.34 ,"257,678","9,395",4,Hotel,non-chain,14/8/2016,5/10/2016,6/10/2016
65,  45.82 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,14/8/2016,5/10/2016,6/10/2016
66,  24.94 ,"596,314","9,395",1.5,Guest House / Bed & Breakfast,non-chain,14/8/2016,7/10/2016,8/10/2016
67,  62.72 ,"363,556","9,395",3,Hotel,non-chain,14/8/2016,2/10/2016,3/10/2016
68,  40.84 ,"197,996","9,395",3.5,Hotel,non-chain,14/8/2016,8/10/2016,9/10/2016
69,  53.52 ,"197,996","9,395",3.5,Hotel,non-chain,14/8/2016,2/10/2016,3/10/2016
70,  79.26 ,"297,388","9,395",2.5,Hotel,non-chain,14/8/2016,13/10/2016,16/10/2016
71,  48.90 ,"551,778","9,395",2,Hotel,non-chain,15/8/2016,1/10/2016,2/10/2016
72,  134.64 ,"150,994","9,395",3,Hotel,non-chain,15/8/2016,6/10/2016,7/10/2016
73,  141.68 ,"179,404","9,395",3.5,Hotel,chain,15/8/2016,1/10/2016,4/10/2016
74,  104.78 ,"21,272","9,395",4,Hotel,non-chain,15/8/2016,10/10/2016,11/10/2016
75,  85.50 ,"577,502","9,395",3.5,Hotel,non-chain,15/8/2016,2/10/2016,4/10/2016
76,  237.15 ,"475,584","9,395",5,Hotel,chain,15/8/2016,13/10/2016,15/10/2016
77,  83.18 ,"331,350","9,395",3,Hotel,non-chain,15/8/2016,4/10/2016,6/10/2016
78,  79.62 ,"297,388","9,395",2.5,Hotel,non-chain,16/8/2016,2/10/2016,4/10/2016
79,  155.84 ,"216,914","9,395",3,Hotel,non-chain,16/8/2016,15/10/2016,17/10/2016
80,  54.58 ,"216,914","9,395",3,Hotel,non-chain,16/8/2016,14/10/2016,15/10/2016
81,  72.04 ,"216,914","9,395",3,Hotel,non-chain,16/8/2016,6/10/2016,8/10/2016
82,  168.44 ,"96,982","9,395",4,Hotel,chain,17/8/2016,14/10/2016,15/10/2016
83,  58.34 ,"197,996","9,395",3.5,Hotel,non-chain,17/8/2016,3/10/2016,5/10/2016
84,  78.10 ,"920,882","9,395",3,Guest House / Bed & Breakfast,non-chain,17/8/2016,7/10/2016,9/10/2016
85,  76.86 ,"298,322","9,395",3,Hotel,non-chain,17/8/2016,1/10/2016,3/10/2016
86,  54.86 ,"197,996","9,395",3.5,Hotel,non-chain,17/8/2016,10/10/2016,11/10/2016
87,  109.12 ,"309,680","9,395",3,Hotel,chain,17/8/2016,11/10/2016,12/10/2016
88,  92.80 ,"331,350","9,395",3,Hotel,non-chain,17/8/2016,14/10/2016,17/10/2016
89,  176.86 ,"180,880","9,395",4,Hotel,non-chain,17/8/2016,13/10/2016,14/10/2016
90,  51.48 ,"197,996","9,395",3.5,Hotel,non-chain,17/8/2016,2/10/2016,4/10/2016
91,  144.46 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,17/8/2016,2/10/2016,4/10/2016
92,  47.06 ,"1,930,960","9,395",3,Hotel,non-chain,17/8/2016,2/10/2016,3/10/2016
93,  51.04 ,"297,388","9,395",2.5,Hotel,non-chain,17/8/2016,7/10/2016,10/10/2016
94,  59.18 ,"197,996","9,395",3.5,Hotel,non-chain,17/8/2016,3/10/2016,4/10/2016
95,  63.12 ,"297,388","9,395",2.5,Hotel,non-chain,17/8/2016,6/10/2016,9/10/2016
96,  34.36 ,"104,332","9,395",2,Hotel,chain,17/8/2016,5/10/2016,6/10/2016
97,  166.10 ,"2,313,076","9,395",5,Hotel,chain,17/8/2016,4/10/2016,6/10/2016
98,  128.46 ,"373,272","9,395",4.5,Hotel,chain,17/8/2016,9/10/2016,11/10/2016
99,  139.20 ,"21,272","9,395",4,Hotel,non-chain,17/8/2016,7/10/2016,10/10/2016
100,  216.92 ,"180,052","9,395",5,Hotel,chain,18/8/2016,7/10/2016,8/10/2016
101,  48.22 ,"197,996","9,395",3.5,Hotel,non-chain,18/8/2016,17/10/2016,18/10/2016
102,  86.42 ,"152,820","9,395",4,Hotel,non-chain,18/8/2016,1/10/2016,2/10/2016
103,  211.14 ,"2,313,076","9,395",5,Hotel,chain,18/8/2016,1/10/2016,4/10/2016
104,  51.72 ,"1,930,960","9,395",3,Hotel,non-chain,18/8/2016,8/10/2016,9/10/2016
105,  90.78 ,"298,322","9,395",3,Hotel,non-chain,18/8/2016,9/10/2016,10/10/2016
106,  82.82 ,"782,884","9,395",3,Hotel,chain,19/8/2016,1/10/2016,3/10/2016
107,  18.85 ,"889,932","9,395",2,Hostel,non-chain,19/8/2016,3/10/2016,6/10/2016
108,  118.36 ,"1,246,920","9,395",4,Hotel,non-chain,19/8/2016,10/10/2016,12/10/2016
109,  61.96 ,"21,378","9,395",4,Hotel,non-chain,19/8/2016,16/10/2016,17/10/2016
110,  130.32 ,"2,278,874","9,395",4,Hotel,chain,19/8/2016,14/10/2016,16/10/2016
111,  124.96 ,"298,446","9,395",4,Hotel,non-chain,19/8/2016,1/10/2016,3/10/2016
112,  41.06 ,"197,996","9,395",3.5,Hotel,non-chain,19/8/2016,1/10/2016,2/10/2016
113,  107.60 ,"21,272","9,395",4,Hotel,non-chain,19/8/2016,3/10/2016,6/10/2016
114,  54.28 ,"475,438","9,395",3,Hotel,non-chain,19/8/2016,2/10/2016,3/10/2016
115,  309.32 ,"96,982","9,395",4,Hotel,chain,19/8/2016,17/10/2016,19/10/2016
116,  343.68 ,"96,982","9,395",4,Hotel,chain,19/8/2016,17/10/2016,20/10/2016
117,  186.56 ,"1,853,178","9,395",4,Hotel,non-chain,20/8/2016,9/10/2016,10/10/2016
118,  57.60 ,"461,084","9,395",3,Hotel,non-chain,20/8/2016,8/10/2016,10/10/2016
119,  79.56 ,"297,388","9,395",2.5,Hotel,non-chain,20/8/2016,1/10/2016,2/10/2016
120,  56.70 ,"924,698","9,395",3,Hotel,non-chain,20/8/2016,10/10/2016,11/10/2016
121,  115.22 ,"587,866","9,395",4,Serviced Apartment,non-chain,20/8/2016,6/10/2016,9/10/2016
122,  50.48 ,"1,913,862","9,395",3,Guest House / Bed & Breakfast,non-chain,20/8/2016,9/10/2016,10/10/2016
123,  107.40 ,"21,272","9,395",4,Hotel,non-chain,20/8/2016,6/10/2016,7/10/2016
124,  127.06 ,"2,240,838","9,395",3.5,Hotel,non-chain,20/8/2016,13/10/2016,15/10/2016
125,  118.56 ,"21,418","9,395",4,Hotel,chain,20/8/2016,1/10/2016,4/10/2016
126,  457.36 ,"96,982","9,395",4,Hotel,chain,20/8/2016,7/10/2016,8/10/2016
127,  94.58 ,"21,418","9,395",4,Hotel,chain,20/8/2016,11/10/2016,12/10/2016
128,  58.41 ,"198,004","9,395",3,Hotel,non-chain,20/8/2016,9/10/2016,12/10/2016
129,  95.54 ,"21,418","9,395",4,Hotel,chain,20/8/2016,1/10/2016,4/10/2016
130,  95.54 ,"21,418","9,395",4,Hotel,chain,20/8/2016,1/10/2016,4/10/2016
131,  106.44 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,20/8/2016,12/10/2016,13/10/2016
132,  6.80 ,"582,528","9,395",2,Hotel,non-chain,21/8/2016,11/10/2016,13/10/2016
133,  400.20 ,"96,982","9,395",4,Hotel,chain,21/8/2016,9/10/2016,11/10/2016
134,  46.02 ,"197,996","9,395",3.5,Hotel,non-chain,21/8/2016,5/10/2016,6/10/2016
135,  53.72 ,"197,996","9,395",3.5,Hotel,non-chain,21/8/2016,8/10/2016,9/10/2016
136,  44.16 ,"197,996","9,395",3.5,Hotel,non-chain,21/8/2016,1/10/2016,2/10/2016
137,  58.41 ,"198,004","9,395",3,Hotel,non-chain,21/8/2016,10/10/2016,13/10/2016
138,  45.10 ,"197,996","9,395",3.5,Hotel,non-chain,21/8/2016,20/10/2016,23/10/2016
139,  90.96 ,"298,322","9,395",3,Hotel,non-chain,21/8/2016,18/10/2016,20/10/2016
140,  155.16 ,"1,991,354","9,395",4,Serviced Apartment,non-chain,21/8/2016,1/10/2016,2/10/2016
141,  170.04 ,"1,853,178","9,395",4,Hotel,non-chain,21/8/2016,8/10/2016,9/10/2016
142,  74.32 ,"119,996","9,395",3,Hotel,non-chain,21/8/2016,9/10/2016,12/10/2016
143,  74.32 ,"119,996","9,395",3,Hotel,non-chain,21/8/2016,15/10/2016,17/10/2016
144,  75.08 ,"297,388","9,395",2.5,Hotel,non-chain,21/8/2016,15/10/2016,17/10/2016
145,  102.90 ,"348,814","9,395",3.5,Hotel,non-chain,21/8/2016,8/10/2016,9/10/2016
146,  110.72 ,"21,272","9,395",4,Hotel,non-chain,21/8/2016,14/10/2016,15/10/2016
147,  87.78 ,"297,388","9,395",2.5,Hotel,non-chain,21/8/2016,15/10/2016,17/10/2016
148,  51.02 ,"297,388","9,395",2.5,Hotel,non-chain,21/8/2016,15/10/2016,17/10/2016
149,  109.06 ,"21,272","9,395",4,Hotel,non-chain,21/8/2016,8/10/2016,10/10/2016
150,  90.96 ,"298,322","9,395",3,Hotel,non-chain,21/8/2016,18/10/2016,20/10/2016
151,  128.91 ,"257,678","9,395",4,Hotel,non-chain,21/8/2016,6/10/2016,9/10/2016
152,  105.18 ,"21,272","9,395",4,Hotel,non-chain,21/8/2016,11/10/2016,12/10/2016
153,  228.98 ,"217,846","9,395",4.5,Serviced Apartment,non-chain,21/8/2016,2/10/2016,5/10/2016
154,  74.32 ,"119,996","9,395",3,Hotel,non-chain,22/8/2016,15/10/2016,17/10/2016
155,  41.86 ,"197,996","9,395",3.5,Hotel,non-chain,22/8/2016,12/10/2016,13/10/2016
156,  52.12 ,"461,084","9,395",3,Hotel,non-chain,22/8/2016,4/10/2016,6/10/2016
157,  118.56 ,"21,418","9,395",4,Hotel,chain,22/8/2016,21/10/2016,23/10/2016
158,  95.24 ,"577,502","9,395",3.5,Hotel,non-chain,22/8/2016,8/10/2016,10/10/2016
159,  54.84 ,"197,996","9,395",3.5,Hotel,non-chain,22/8/2016,12/10/2016,13/10/2016
160,  51.18 ,"596,878","9,395",3.5,Hotel,chain,22/8/2016,8/10/2016,9/10/2016
161,  53.72 ,"197,996","9,395",3.5,Hotel,non-chain,22/8/2016,1/10/2016,2/10/2016
162,  163.30 ,"510,678","9,395",5,Hotel,non-chain,22/8/2016,21/10/2016,24/10/2016
163,  90.96 ,"298,322","9,395",3,Hotel,non-chain,22/8/2016,15/10/2016,17/10/2016
164,  152.88 ,"373,272","9,395",4.5,Hotel,chain,22/8/2016,13/10/2016,15/10/2016
165,  153.16 ,"141,282","9,395",5,Hotel,chain,22/8/2016,11/10/2016,13/10/2016
166,  83.50 ,"475,894","9,395",3,Serviced Apartment,non-chain,22/8/2016,15/10/2016,16/10/2016
167,  127.06 ,"21,272","9,395",4,Hotel,non-chain,22/8/2016,8/10/2016,9/10/2016
168,  49.84 ,"197,996","9,395",3.5,Hotel,non-chain,22/8/2016,1/10/2016,2/10/2016
169,  85.62 ,"581,660","9,395",3,Hotel,non-chain,22/8/2016,7/10/2016,9/10/2016
170,  84.86 ,"782,884","9,395",3,Hotel,chain,22/8/2016,7/10/2016,10/10/2016
171,  121.06 ,"297,388","9,395",2.5,Hotel,non-chain,22/8/2016,13/10/2016,14/10/2016
172,  122.13 ,"21,294","9,395",4,Hotel,chain,22/8/2016,14/10/2016,16/10/2016
173,  51.68 ,"197,996","9,395",3.5,Hotel,non-chain,22/8/2016,12/10/2016,13/10/2016
174,  193.27 ,"217,846","9,395",4.5,Serviced Apartment,non-chain,22/8/2016,8/10/2016,10/10/2016
175,  145.54 ,"96,982","9,395",4,Hotel,chain,22/8/2016,21/10/2016,23/10/2016
176,  73.14 ,"581,660","9,395",3,Hotel,non-chain,22/8/2016,3/10/2016,6/10/2016
177,  145.54 ,"96,982","9,395",4,Hotel,chain,22/8/2016,7/10/2016,8/10/2016
178,  120.22 ,"298,446","9,395",4,Hotel,non-chain,23/8/2016,11/10/2016,14/10/2016
179,  63.02 ,"297,388","9,395",2.5,Hotel,non-chain,23/8/2016,12/10/2016,14/10/2016
180,  104.54 ,"331,350","9,395",3,Hotel,non-chain,23/8/2016,2/10/2016,3/10/2016
181,  33.70 ,"1,605,882","9,395",2,Hostel,non-chain,23/8/2016,1/10/2016,2/10/2016
182,  86.06 ,"782,884","9,395",3,Hotel,chain,23/8/2016,7/10/2016,10/10/2016
183,  97.06 ,"577,502","9,395",3.5,Hotel,non-chain,23/8/2016,1/10/2016,3/10/2016
184,  107.26 ,"21,272","9,395",4,Hotel,non-chain,23/8/2016,2/10/2016,4/10/2016
185,  187.38 ,"180,880","9,395",4,Hotel,non-chain,23/8/2016,7/10/2016,9/10/2016
186,  54.32 ,"197,996","9,395",3.5,Hotel,non-chain,23/8/2016,6/10/2016,7/10/2016
187,  136.44 ,"179,404","9,395",3.5,Hotel,chain,23/8/2016,1/10/2016,4/10/2016
188,  121.62 ,"21,272","9,395",4,Hotel,non-chain,23/8/2016,8/10/2016,10/10/2016
189,  71.04 ,"474,060","9,395",3,Hotel,chain,23/8/2016,19/10/2016,21/10/2016
190,  136.76 ,"21,272","9,395",4,Hotel,non-chain,23/8/2016,6/10/2016,7/10/2016
191,  53.64 ,"297,388","9,395",2.5,Hotel,non-chain,23/8/2016,18/10/2016,21/10/2016
192,  131.16 ,"373,272","9,395",4.5,Hotel,chain,24/8/2016,17/10/2016,19/10/2016
193,  90.98 ,"298,322","9,395",3,Hotel,non-chain,24/8/2016,5/10/2016,7/10/2016
194,  180.94 ,"2,313,076","9,395",5,Hotel,chain,24/8/2016,13/10/2016,15/10/2016
195,  159.42 ,"180,880","9,395",4,Hotel,non-chain,24/8/2016,16/10/2016,18/10/2016
196,  183.62 ,"2,313,076","9,395",5,Hotel,chain,24/8/2016,17/10/2016,18/10/2016
197,  234.57 ,"509,832","9,395",5,Hotel,non-chain,24/8/2016,14/10/2016,17/10/2016
198,  70.72 ,"782,884","9,395",3,Hotel,chain,24/8/2016,23/10/2016,25/10/2016
199,  56.78 ,"197,996","9,395",3.5,Hotel,non-chain,24/8/2016,6/10/2016,7/10/2016
200,  89.00 ,"577,502","9,395",3.5,Hotel,non-chain,24/8/2016,21/10/2016,24/10/2016
201,  127.58 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,24/8/2016,13/10/2016,14/10/2016
202,  69.54 ,"475,894","9,395",3,Serviced Apartment,non-chain,24/8/2016,21/10/2016,24/10/2016
203,  127.58 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,24/8/2016,16/10/2016,17/10/2016
204,  141.76 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,24/8/2016,16/10/2016,17/10/2016
205,  55.11 ,"819,180","9,395",2.5,Hotel,chain,24/8/2016,14/10/2016,17/10/2016
206,  59.32 ,"601,910","9,395",3.5,Hotel,non-chain,24/8/2016,8/10/2016,9/10/2016
207,  116.94 ,"21,272","9,395",4,Hotel,non-chain,24/8/2016,19/10/2016,21/10/2016
208,  172.41 ,"2,313,076","9,395",5,Hotel,chain,24/8/2016,9/10/2016,11/10/2016
209,  41.86 ,"197,996","9,395",3.5,Hotel,non-chain,24/8/2016,3/10/2016,4/10/2016
210,  92.14 ,"782,884","9,395",3,Hotel,chain,24/8/2016,16/10/2016,18/10/2016
211,  92.43 ,"297,388","9,395",2.5,Hotel,non-chain,24/8/2016,15/10/2016,18/10/2016
